Autor, Herausgeber oder Institution;Abstract;Jahr ermittelt;Titel;Zeitschrift/Zeitung;Dokumententyp
"Barsky, Robert B.; Long, J. Bradford de";The bull and bear markets of this century have suggested that large stock market swings reflect irrational “fads and fashions.” We argue instead that investors perceived shifts in the long-run rate of future growth and that stock prices are sufficiently sensitive to expectations about the future that these perceived shifts plausibly generated the swings of the twentieth century. We document that analysts often viewed as “smart money” assessed fundamentals, based on their perceptions of future economic growth, in a way that tracked decade-to-decade swings closely;1990;Bull and Bear Markets in the Twentieth Century;The Journal of Economic History;Zeitschriftenaufsatz
Bessler, David A.;;1990;A note on Chinese rice prices: Interior markets, 1928–1931;Explorations in Economic History;Zeitschriftenaufsatz
"Crafts, Nicolas F. R.; Leybourne, S.J; Mills, Terence C.";The paper uses a structural time series model to reconsider growth in industrial output in 19th-century Europe. The approach is based on an unobserved components methodology in which there is no ex-ante specification of dates at which the trend is hypothesized to have changed and both trend and cycle are stochastic. We find that trend growth was variable over time in several cases but in general was less volatile than has been claimed and also that in general these times series of industrial output are difference rather than trend stationary.;1990;Measurement of trend growth in European industrial output before 1914: Methodological issues and new estimates;Explorations in Economic History;Zeitschriftenaufsatz
Dudley, Leonard;Previous explanations of Rome's decline fail to explain the frequency of civil war and the continued survival of the Byzantine empire. This paper demonstrates that symptoms similar to those observed in the Mediterranean region over the first millennium A.D. can result from a permanent shock to a system of interdependent bureaucracies. A decrease in military scale economies will lead to a contraction of territorial boundaries and an increase in tax levels. Historical evidence suggests that in the case of Rome, the shock took the form of a series of improvements in cavalry combat.;1990;Structural change in interdependent bureaucracies: Was Rome's failure economic or military?;Explorations in Economic History;Zeitschriftenaufsatz
Economopoulos, Andrew J.;Rolnick and Weber found that a sharp decline in asset prices led to bank panics and, ultimately, bank failures during the free banking era. An examination of New York and Wisconsin free bank portfolios prior to a fall in asset prices indicates banks that weathered the turmoil held significantly different portfolios than closed banks. In general, solvent banks held more loans and specie, and issued more deposits and less bank notes than closed banks.;1990;Free bank failures in New York and Wisconsin: A portfolio analysis;Explorations in Economic History;Zeitschriftenaufsatz
"Gemery, H. A.; Hogendorn, Jan; Johnson, Marion";Newly available data from the English customs records on England's trade with Africa in the 18th century, when combined with data on Africa's slave exports, allow for the construction of a terms of trade series. England's terms of trade with Africa are found to have risen from the beginning of the century to 1720, fallen sharply in the 1720s, behaved in mixed fashion in the 1730s and 1740s, and thereafter fallen steadily and deeply to a figure about one-third that of the start of the century in the decade 1771–1780. A rise followed, until in 1800 a figure about one-half that at the beginning of the century had been achieved.;1990;Evidence on English/African terms of trade in the eighteenth century;Explorations in Economic History;Zeitschriftenaufsatz
"Gemmell, Norman; Wardley, Peter";"This paper compares evidence on productivity levels and growth, and factor intensities in manufacturing and service sectors—mainly transportation and distribution—in Britain, during 1856–1913. It is argued that (i) productivity levels in those services exceeded those in manufacturing; (ii) conclusions on relative sectoral productivity growth depend on whether a labor or total factor measure is used; and (iii) capital-labor ratios appear high in the services examined (relative to manufacturing) but conclusions on intrinsic factor intensity based on capital-labor ratios may be misleading.";1990;The contribution of services to British economic growth, 1856–1913;Explorations in Economic History;Zeitschriftenaufsatz
Heim, Carol E.;;1990;The Treasury As Developer-Capitalist? British New Town Building in the 1950s;The Journal of Economic History;Zeitschriftenaufsatz
Inikori, Joseph E.;The paper is premised on the fact that credit institutions made important contributions to the growth of output in manufacturing and commerce in the decades preceding, and during, the Industrial Revolution. It is argued that the development of the credit economy depended on the size of the market for credit transactions in England. Before the second half of the 17th century, that market was not large enough to justify the establishment of credit institutions. The growth of the slave-based Atlantic system in the 17th and 18th centuries (with its peculiar financial requirements), the capture by the British of a predominant share of the trade and commodity production connected with the system after 1660, and the financial needs of the British state arising from the military struggles by which this share was wrested from European rivals, all expanded the market for credit several times over, while at the same time providing much of the funds for the establishment of credit institutions.;1990;The credit needs of the African trade and the development of the credit economy in England;Explorations in Economic History;Zeitschriftenaufsatz
"Katz, Yossi; Neuman, Shoshana";The paper presents a historical and quantitative analysis of agricultural land transactions between Jews (buyers) and Arabs (sellers) in Palestine at the beginning of the century. Based on data relating to 104 plots (drawn from the archives of the Jewish settlement associations and organizations) and using the hedonic prices approach, it is found that site, relative location, and period of sale explain two-thirds of the variance in price. In addition, the nature of ownership, location in proximity to lands under Jewish ownership, and geopolitical region have substantial effects as well. The last factor is particularly interesting as it relates to nationalistic considerations of land redemption and preparation of a base for a national homeland.;1990;Agricultural land transactions in Palestine, 1900–1914: A quantitative analysis;Explorations in Economic History;Zeitschriftenaufsatz
